step,actual_error,pred_error,intr_reward,is_noisy
0,0.21777217090129852,0.013226507231593132,1.0,False
1,0.22117674350738525,0.0014538755640387535,1.0,False
2,0.21361081302165985,-0.00801130197942257,1.0,False
3,0.21387727558612823,-0.01551184244453907,1.0,False
4,0.2168114185333252,-0.012272315099835396,1.0,False
5,0.21306316554546356,0.026458721607923508,1.0,False
6,0.2251824587583542,-0.0011163204908370972,1.0,False
7,0.20425225794315338,-0.01338556595146656,1.0,False
8,0.22722072899341583,0.0036307796835899353,1.0,False
9,0.21789468824863434,-0.01265539601445198,1.0,False
10,0.21457016468048096,-0.014063512906432152,1.0,False
11,0.20893287658691406,-0.019576577469706535,1.0,False
12,0.22650384902954102,0.0036608269438147545,1.0,False
13,0.2058810442686081,-0.03552448749542236,1.0,False
14,0.21325065195560455,-0.0030410252511501312,1.0,False
15,0.2073541134595871,0.008797133341431618,1.0,False
16,0.21340997517108917,0.029120292514562607,1.0,False
17,0.22805120050907135,-0.0026085413992404938,1.0,False
18,0.21130628883838654,0.016929995268583298,1.0,False
19,0.22681660950183868,0.02120954357087612,1.0,False
20,0.2080310583114624,0.007973471656441689,1.0,False
21,0.20905472338199615,-0.02803359366953373,1.0,False
22,0.2261946052312851,-0.020888181403279305,1.0,False
23,0.2243788093328476,5.2129849791526794e-05,1.0,False
24,0.22154600918293,-0.01453179307281971,1.0,False
25,0.21346227824687958,-0.002891186624765396,1.0,False
26,0.22371895611286163,-0.007586576044559479,1.0,False
27,0.21551211178302765,-0.02362632565200329,1.0,False
28,0.2169278860092163,0.008685175329446793,1.0,False
29,0.2128916233778,0.0002441462129354477,1.0,False
30,0.22661681473255157,0.010363653302192688,1.0,False
31,0.21887485682964325,-0.006671590730547905,1.0,False
32,0.20392315089702606,-0.013141637668013573,1.0,False
33,0.22619502246379852,-0.00031335651874542236,1.0,False
34,0.2150404304265976,0.018801134079694748,1.0,False
35,0.2089882344007492,-0.025082925334572792,1.0,False
36,0.2092127650976181,0.014690468087792397,1.0,False
37,0.21760010719299316,0.0009849835187196732,1.0,False
38,0.20386433601379395,0.01601209118962288,1.0,False
39,0.21728289127349854,0.007565638981759548,1.0,False
40,0.2111656218767166,0.012232544831931591,1.0,False
41,0.2062201052904129,-0.021756695583462715,1.0,False
42,0.2187790721654892,0.03683525323867798,1.0,False
43,0.22647254168987274,0.00829380750656128,1.0,False
44,0.21224911510944366,0.0036699166521430016,1.0,False
45,0.219995379447937,0.01900862343609333,1.0,False
46,0.22452689707279205,0.012165788561105728,1.0,False
47,0.21778452396392822,-0.00045143067836761475,1.0,False
48,0.2128654271364212,0.0017094006761908531,1.0,False
49,0.21225686371326447,-0.016157398000359535,1.0,False
50,0.21830272674560547,-0.017536593601107597,1.0,False
51,0.22144539654254913,0.0026919785887002945,1.0,False
52,0.2112439125776291,0.017753683030605316,1.0,False
53,0.2263638973236084,-0.000570664182305336,1.0,False
54,0.21712557971477509,-0.0036961790174245834,1.0,False
55,0.21860234439373016,-0.014321023598313332,1.0,False
56,0.21971364319324493,-0.021164556965231895,1.0,False
57,0.21423886716365814,-0.02286735363304615,1.0,False
58,0.21079106628894806,-0.008201446384191513,1.0,False
59,0.22352838516235352,-0.0024658460170030594,1.0,False
60,0.20869338512420654,0.0027707144618034363,1.0,False
61,0.21916575729846954,0.01613694056868553,1.0,False
62,0.224839448928833,0.008256705477833748,1.0,False
63,0.22062437236309052,0.014174897223711014,1.0,False
64,0.21785302460193634,0.020381756126880646,1.0,False
65,0.21329642832279205,-0.005980625748634338,1.0,False
66,0.21582238376140594,-0.0032976623624563217,1.0,False
67,0.20278938114643097,-0.0017373431473970413,1.0,False
68,0.21682530641555786,0.008352919481694698,1.0,False
69,0.2120237797498703,-0.003278711810708046,1.0,False
70,0.21663732826709747,0.011604290455579758,1.0,False
71,0.21314458549022675,0.011318430304527283,1.0,False
72,0.21493498980998993,-0.007285574451088905,1.0,False
73,0.2048848271369934,0.013531617820262909,1.0,False
74,0.20913094282150269,-0.028939897194504738,1.0,False
75,0.21325039863586426,-0.009121155366301537,1.0,False
76,0.2200945019721985,-0.011963877826929092,1.0,False
77,0.2145969122648239,0.010023226961493492,1.0,False
78,0.21391558647155762,-0.02438524179160595,1.0,False
79,0.21627771854400635,0.03397253155708313,1.0,False
80,0.20829451084136963,-0.01614205725491047,1.0,False
81,0.20887792110443115,-0.03155290335416794,1.0,False
82,0.21315284073352814,-0.033844247460365295,1.0,False
83,0.2099665254354477,-0.030533013865351677,1.0,False
84,0.20530147850513458,-0.06531044840812683,1.0,False
85,0.2080155462026596,-0.04842265695333481,1.0,False
86,0.21104605495929718,-0.058552443981170654,1.0,False
87,0.21766895055770874,-0.0519847571849823,1.0,False
88,0.21042297780513763,0.0010336879640817642,1.0,False
89,0.21044375002384186,-0.01127091608941555,1.0,False
90,0.2194846123456955,0.028051083907485008,1.0,False
91,0.21371042728424072,-0.018813462927937508,1.0,False
92,0.20728008449077606,-0.04152806103229523,1.0,False
93,0.21710699796676636,-0.03784307837486267,1.0,False
94,0.20697593688964844,-0.02266114018857479,1.0,False
95,0.21021796762943268,-0.03783787041902542,1.0,False
96,0.21159397065639496,-0.03631927818059921,1.0,False
97,0.2109711915254593,-0.05079024285078049,1.0,False
98,0.21047227084636688,-0.036989808082580566,1.0,False
99,0.20390360057353973,-0.037678129971027374,1.0,False
